1.234 -7,49 -1,81 2 4 4 -8,89 0 0 -10,00 1 2 -9,00 -9,76 0
1 -4,74 -7,98 2 1 1 -10,00 0 1 -8,51 0 2 -8,24 -9,97 0
1 -5,94 -8,87 2 13 8 -8,71 1 1 -6,42 1 2 -4,17 -9,86 1
1 0,53 8,81 1 1 1 -10,00 1 0 -10,00 1 2 -10,00 -10,00 0
0 -4,99 -9,02 2 9 8 -9,97 0 1 -9,10 0 2 -10,00 -9,99 0
1 -5,29 -9,11 2 9 4 -8,77 0 0 -10,00 0 2 -8,00 -10,00 0
1 -5,64 -6,40 1 8 5 -8,95 1 1 -7,61 1 2 -8,56 -10,00 1
1 -2,03 5,36 2 10 9 4,04 1 1 -6,72 0 2 -10,00 -9,76 1
1 -3,16 -6,96 2 11 4 -7,54 0 0 -10,00 0 2 -5,46 -9,99 0
1 -6,44 -9,76 2 4 8 -7,54 0 0 -10,00 1 2 -6,60 -10,00 0
1 -5,16 -7,50 2 8 4 -9,88 0 0 -10,00 0 2 -7,84 -10,00 0
1 -7,19 -10,00 2 4 4 -9,30 0 1 -6,72 0 1 -10,00 -10,00 0
0 -4,46 -8,96 2 9 4 -9,24 1 1 -5,22 0 2 -8,80 -9,58 1
1 -6,57 -7,50 2 13 4 -9,56 1 1 -7,91 0 2 -10,00 -8,59 1
0 -3,56 -7,32 2 1 1 -10,00 0 1 -8,21 0 2 -10,00 -9,96 0
0 -8,55 -2,86 2 2 4 -9,71 0 0 -10,00 0 2 -9,20 -9,99 0
1 -2,13 -6,43 2 3 5 -9,85 0 0 -10,00 0 2 -4,50 -10,00 0
1 -7,09 -9,29 2 8 4 -9,65 0 0 -10,00 1 1 -7,20 -10,00 0
1 -2,83 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 1
0 -6,69 -0,24 2 11 8 -8,95 0 0 -10,00 0 2 -7,20 -10,00 0
0 0,00 -0,71 2 3 5 -6,38 1 1 -7,31 1 2 -10,00 -10,00 1
1 -3,86 -6,25 2 9 4 -9,94 0 0 -10,00 1 2 -7,10 -10,00 1
1 -7,47 -9,59 1 1 1 -10,00 0 0 -10,00 0 2 -9,00 -10,00 0
1 -5,79 -9,08 2 4 8 -9,82 0 0 -10,00 1 1 -8,60 -10,00 0
1 -1,28 -7,09 2 6 4 -9,97 0 0 -10,00 0 2 -8,92 -9,98 0
1 -5,51 0,36 2 2 4 -9,91 0 0 -10,00 0 2 -10,00 -9,94 0
1 -3,23 -6,43 2 8 5 -8,25 1 1 -8,21 0 2 -10,00 -9,93 1
0 -8,67 -2,86 1 11 8 -9,88 0 0 -10,00 0 2 -6,60 -10,00 0
1 -7,74 -8,93 2 9 4 -8,95 0 0 -10,00 0 2 -8,50 -10,00 1
0 -2,43 -8,81 2 6 4 -9,82 0 0 -10,00 0 2 -10,00 -9,92 0
1 -4,56 -9,97 1 7 4 -9,97 0 0 -10,00 0 2 -10,00 -10,00 0
0 -8,93 -3,21 2 6 4 -8,77 0 1 -7,01 1 2 -10,00 -10,00 0
0 -7,99 -9,41 2 11 4 -8,89 1 1 -9,70 0 2 -10,00 -10,00 1
0 -2,38 -7,14 2 8 4 -7,89 0 0 -10,00 0 2 -5,20 -10,00 0
1 -2,51 -9,85 2 4 4 -9,94 1 0 -10,00 1 2 -7,20 -10,00 1
1 -5,81 -0,18 2 9 4 -5,96 1 0 -10,00 1 2 -5,13 -9,90 1
1 -5,79 -9,59 1 13 4 -9,82 1 1 -9,40 0 2 -7,40 -9,90 1
1 -8,42 -10,00 1 1 1 -10,00 0 1 -8,81 0 2 -9,55 -10,00 0
0 -6,62 -9,38 2 14 8 -9,27 1 0 -10,00 1 2 -8,40 -8,83 1
1 -5,81 -8,57 2 14 8 -9,30 1 1 -8,81 0 2 -8,60 -8,49 1
1 -7,44 -3,57 2 6 4 -9,94 0 0 -10,00 0 2 -10,00 -10,00 0
0 0,85 -0,30 2 4 8 -4,04 1 0 -10,00 1 2 -10,00 -10,00 1
1 -4,41 -8,21 2 8 4 -9,12 0 0 -10,00 1 2 -7,20 -10,00 0
1 -2,63 -2,77 1 4 4 -9,91 0 0 -10,00 0 2 -8,40 -10,00 0
1 0,10 -5,36 2 8 4 -9,30 0 0 -10,00 1 2 -10,00 -9,95 0
1 -5,77 -7,14 1 3 8 -5,96 1 1 -9,40 1 2 -9,25 -10,00 0
0 -3,38 -9,35 2 6 4 -9,47 1 1 -8,81 0 2 -10,00 -9,68 1
1 -4,04 -9,82 2 3 5 -7,19 0 0 -10,00 1 1 -5,80 -10,00 0
1 -3,89 -9,94 1 7 5 -9,97 1 1 -9,70 1 2 -7,20 -9,60 1
0 -7,89 -2,62 2 13 8 -9,76 1 1 -9,70 1 2 -9,20 -9,99 1
1 -4,16 -9,29 2 14 4 -9,47 1 1 -7,91 1 2 -6,60 -9,19 1
1 -7,29 -2,14 2 11 4 -8,25 1 1 -7,91 1 2 -9,00 -9,84 1
1 0,53 -3,93 2 8 8 -1,23 1 1 -7,31 0 2 -8,19 -9,67 1
1 -1,93 -6,43 2 8 4 -6,49 1 1 -7,91 0 2 -10,00 -9,39 1
1 -7,92 -9,41 1 8 4 -8,60 0 0 -10,00 1 1 -7,60 -10,00 0
0 -2,48 -8,93 2 1 1 -10,00 0 0 -10,00 0 2 -9,24 -10,00 0
0 3,03 3,93 2 8 4 -6,14 1 1 -7,91 0 2 -10,00 -9,40 1
0 -4,74 -7,32 2 13 8 -9,56 1 1 -7,31 1 2 -8,19 -10,00 1
1 -7,52 -9,44 2 9 4 -9,80 0 1 -9,70 0 2 -5,80 -9,94 0
0 3,41 -2,86 2 11 4 -7,19 1 1 -5,82 0 2 -10,00 -9,68 1
1 -5,44 -9,74 2 8 4 -9,80 0 0 -10,00 0 2 -7,80 -9,97 0
0 -0,30 -7,14 2 5 3 -10,00 1 0 -10,00 0 2 -9,00 -9,81 1
1 -7,82 -7,86 1 2 4 -9,24 1 1 -7,61 1 2 -8,40 -10,00 1
0 -6,69 -1,07 2 6 4 -8,95 1 1 -6,42 1 2 -8,80 -9,89 1
0 -7,87 -9,64 1 10 2 -9,30 0 0 -10,00 0 2 -7,40 -10,00 0
1 -6,74 -0,36 1 1 1 -10,00 0 0 -10,00 0 2 -8,16 -10,00 0
0 -6,17 -8,06 1 8 4 -9,94 0 0 -10,00 0 1 -9,20 -10,00 0
1 -1,83 -9,41 2 1 1 -10,00 1 0 -10,00 0 2 -8,70 -10,00 0
0 -2,61 -6,85 2 8 4 -9,91 0 0 -10,00 0 2 -8,40 -10,00 0
1 -8,25 -9,59 2 1 1 -10,00 0 1 -9,10 0 2 -6,50 -9,85 0
1 -2,33 -3,21 2 7 4 -5,44 1 1 -5,82 0 2 -7,60 -9,08 1
1 -6,39 -9,64 2 8 4 -8,98 1 1 -8,51 1 2 -6,88 -10,00 1
0 -0,28 -7,86 2 8 4 -8,33 1 1 -7,61 1 2 -6,04 -9,17 1
1 -8,22 -2,86 1 4 8 -9,41 1 0 -10,00 1 2 -8,60 -10,00 0
0 -7,44 -9,11 1 1 1 -7,72 0 0 -10,00 0 2 -7,20 -10,00 0
1 -8,48 -7,47 1 1 1 -10,00 0 0 -10,00 1 2 -8,20 -10,00 0
1 5,14 4,29 2 14 8 2,28 1 1 -7,31 1 2 -10,00 -9,80 1
0 -9,17 -9,11 2 11 4 -9,82 0 1 -9,70 0 2 -8,92 -9,98 0
0 6,52 0,71 2 10 9 -10,00 1 1 -5,82 0 2 -10,00 -9,32 1
1 8,95 5,92 2 10 9 -1,05 1 1 -9,70 1 2 -10,00 -9,98 1
0 -9,35 -7,95 2 11 4 -9,94 0 0 -10,00 0 2 -8,80 -10,00 0
1 -3,66 -7,14 2 2 5 -1,23 1 0 -10,00 1 2 -8,16 -10,00 0
0 0,13 -4,29 2 10 5 -5,44 1 1 -8,21 0 2 -6,25 0,22 1
1 -7,17 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 1
1 -0,55 -8,93 2 8 4 -8,25 1 0 -10,00 1 2 -8,60 -10,00 0
1 -9,57 -5,00 2 10 4 -9,30 0 0 -10,00 0 2 -4,00 -10,00 0
1 -8,48 -9,71 1 8 4 -9,88 0 1 -9,70 0 2 -8,00 -10,00 0
1 1,65 -5,36 2 4 4 -5,59 1 1 -5,52 0 2 -10,00 -7,76 1
1 -8,37 -10,00 1 7 5 -10,00 0 0 -10,00 1 1 -5,00 -10,00 1
1 -8,72 -9,89 2 11 7 -9,85 0 0 -10,00 0 2 -8,00 -9,99 1
1 -2,86 -9,41 2 10 4 -9,97 0 0 -10,00 0 2 -8,80 -10,00 0
1 -7,32 -8,87 1 9 4 -7,84 1 1 -8,21 0 2 -9,20 -10,00 1
1 0,25 -7,03 2 14 5 -9,94 0 0 -10,00 1 2 -4,80 -10,00 0
1 -3,89 -8,21 2 8 4 -9,30 0 0 -10,00 0 2 -5,40 -10,00 0
0 -4,19 -8,84 2 2 4 -9,62 0 0 -10,00 1 2 -10,00 -10,00 0
1 -1,18 -9,74 1 8 4 -9,74 1 1 -7,61 1 2 -7,00 -9,97 1
1 -3,76 -7,11 1 3 5 -4,04 1 1 -7,91 1 2 -8,05 -10,00 1
1 -1,28 -7,86 2 3 5 -9,30 1 0 -10,00 0 2 -10,00 -9,96 0
1 -8,65 -9,89 2 2 4 -9,82 0 0 -10,00 1 1 -7,20 -10,00 0
1 -7,19 -8,21 2 1 1 -9,94 0 0 -10,00 1 2 -9,00 -9,16 0
0 -7,37 -3,96 1 14 4 -8,27 0 0 -10,00 0 2 -8,36 -10,00 1
1 -8,75 -9,86 2 6 4 -9,97 0 0 -10,00 0 2 -7,20 -9,85 0
1 -8,60 -2,56 1 6 4 -9,91 1 0 -10,00 0 2 -8,80 -9,93 0
0 -5,81 -8,93 2 7 4 -8,60 1 0 -10,00 0 1 -6,32 -10,00 0
0 -8,45 -3,39 1 8 4 -9,30 1 1 -8,81 1 2 -9,20 -9,90 1
1 -7,32 -9,46 2 3 4 -8,89 0 1 -9,70 1 2 -6,00 -10,00 0
1 4,66 -0,89 1 8 8 -6,49 1 0 -10,00 0 2 -8,88 -10,00 0
0 -7,07 -3,57 2 11 4 -4,04 1 1 -8,51 1 2 -8,80 -10,00 1
1 -3,53 -7,74 2 14 8 -7,37 1 0 -10,00 1 2 -3,20 -10,00 0
0 2,96 -6,96 1 1 1 -6,49 0 0 -10,00 1 2 -10,00 -10,00 0
0 1,90 -9,89 2 1 1 -10,00 0 0 -10,00 1 1 -9,38 -9,99 0
1 -1,75 -7,11 2 13 8 -5,09 1 1 -7,61 0 2 -6,80 -10,00 1
1 -1,45 -6,40 2 11 8 -1,05 1 0 -10,00 1 2 -9,08 -10,00 1
1 -1,75 -9,11 1 9 4 -9,82 0 0 -10,00 0 2 -10,00 -9,96 0
0 -3,98 -9,46 2 4 5 -9,30 1 1 -9,10 1 2 -7,88 -10,00 0
1 -6,42 -1,07 2 13 4 -9,15 1 1 10,00 1 2 -8,60 -9,95 1
1 -6,82 -5,27 1 2 4 -6,14 1 0 -10,00 1 1 -9,00 -10,00 1
1 -7,12 -1,70 1 9 4 -9,41 1 0 -10,00 1 2 -8,40 -9,94 1
1 -4,91 -8,21 2 13 8 -8,42 0 0 -10,00 1 1 -6,60 -10,00 0
1 -2,96 -7,14 2 8 5 -6,49 1 0 -10,00 1 1 -7,20 -10,00 0
1 -6,24 -8,90 2 9 4 -9,91 0 0 -10,00 0 2 -9,00 -10,00 0
0 -5,19 -9,53 2 9 4 -9,82 0 0 -10,00 1 2 -7,00 -10,00 0
0 -7,22 -8,69 2 5 3 -10,00 0 1 -9,70 0 2 -8,00 -9,99 0
1 -8,95 -7,86 2 4 4 -9,97 0 0 -10,00 1 2 -8,40 -9,99 0
1 -5,34 0,56 2 6 4 -6,46 1 1 -8,51 1 2 -8,32 -10,00 1
0 -5,54 -7,47 2 3 5 -9,65 1 0 -10,00 1 2 -8,29 -10,00 0
1 -3,74 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 0
1 -7,09 -9,59 2 8 8 -9,94 1 0 -10,00 0 2 -8,20 -10,00 0
1 -6,62 -1,96 2 8 4 -8,25 1 1 -4,93 0 2 -8,00 -9,76 1
0 -8,50 -4,64 2 11 4 -8,10 1 1 -8,51 0 2 -8,16 -4,65 1
1 -9,00 -9,82 2 11 4 -9,76 0 1 -8,81 0 2 -8,40 -10,00 0
0 -9,30 -9,76 2 1 1 -10,00 0 1 -9,70 0 2 -8,40 -9,97 0
1 -4,23 -8,21 2 6 4 -8,77 0 1 -9,40 1 2 -2,80 -10,00 0
0 -8,02 -2,86 2 8 8 -9,30 1 1 -8,81 0 2 -9,50 -9,71 1
0 -7,59 -8,75 1 5 3 -10,00 0 0 -10,00 0 2 -8,40 -10,00 0
1 -4,16 -9,26 2 12 8 -5,44 1 0 -10,00 1 2 -8,36 -3,74 1
0 -6,52 -8,51 2 8 8 -8,07 1 0 -10,00 1 2 -6,40 -10,00 0
0 -6,69 -7,86 2 11 8 -8,71 1 1 -4,33 0 2 -10,00 -9,90 1
1 -4,86 -10,00 2 9 4 -9,12 1 1 -9,70 0 2 -7,98 -10,00 1
1 -7,89 -6,37 1 5 4 -9,80 0 0 -10,00 0 2 -8,60 -9,96 0
0 -2,01 -4,20 1 4 4 -9,88 0 1 -9,40 0 2 -8,16 -10,00 0
1 -5,29 -9,11 2 8 8 -9,82 0 1 -9,40 1 2 -6,00 -9,98 0
1 -1,83 -9,64 1 7 4 -9,65 0 0 -10,00 1 2 -8,70 -10,00 0
0 -5,26 -9,67 2 4 4 -9,62 1 1 -8,81 0 2 -6,20 -9,90 1
1 2,23 -9,64 1 4 8 -7,22 1 0 -10,00 0 2 -8,20 -9,94 1
1 -3,91 -6,07 1 8 4 -8,95 0 0 -10,00 1 2 -9,40 -10,00 0
1 -6,62 -1,43 2 4 4 -8,42 1 1 -9,40 1 2 -8,80 -10,00 0
0 -6,14 -8,19 1 1 1 -10,00 0 0 -10,00 1 2 -8,20 -9,99 0
0 -4,19 -6,70 2 11 8 -8,86 1 1 -9,40 0 2 -10,00 -10,00 1
1 -4,01 -8,46 2 8 4 -8,95 0 0 -10,00 0 3 -8,80 -10,00 0
1 -3,26 -6,07 2 3 5 -6,49 0 0 -10,00 0 2 -7,90 -9,86 0
1 -8,27 -9,80 2 4 4 -9,80 0 0 -10,00 0 2 -7,20 -9,93 0
1 -6,87 -9,38 2 11 4 -6,75 1 1 -9,40 1 2 -4,80 -9,60 1
0 -4,96 -5,36 2 8 5 -7,19 1 1 -7,91 1 2 -10,00 -9,39 1
1 -8,12 -5,00 2 8 4 -9,65 0 0 -10,00 0 2 -10,00 -10,00 0
1 -6,52 -9,59 2 8 4 -9,80 1 1 -7,91 1 2 -9,04 -8,98 1
1 -5,24 -6,61 2 7 4 -8,60 0 1 -9,70 1 2 -5,40 -9,99 0
1 -1,15 -8,39 2 3 5 -9,47 1 0 -10,00 0 2 -4,40 -10,00 0
1 -5,49 -9,17 2 4 4 -9,65 1 0 -10,00 0 1 -7,20 -10,00 0
1 -4,64 -7,86 1 3 5 -5,09 0 0 -10,00 0 2 -10,00 -10,00 0
1 -8,05 -2,89 2 10 2 -10,00 1 0 -10,00 0 2 -10,00 -10,00 1
1 -0,60 -3,93 2 13 8 -0,18 1 1 -9,70 1 2 -9,12 -9,60 1
0 -7,27 -8,36 2 11 8 -8,39 1 1 -7,91 1 2 -8,60 -9,52 1
0 -7,92 -7,86 2 11 4 -9,88 1 1 -9,10 0 2 -9,00 -10,00 1
1 -5,77 -8,93 2 9 4 -8,42 0 1 -9,70 1 2 -9,00 -10,00 0
1 -1,83 -8,39 1 14 8 -2,98 1 0 -10,00 1 2 -8,24 -10,00 0
1 2,83 10,00 1 8 4 10,00 1 1 1,94 0 2 -10,00 -10,00 1
0 5,14 -9,89 2 1 1 -10,00 1 1 -9,70 0 2 -7,68 -9,98 1
0 -7,39 -1,96 1 14 8 -9,47 1 1 -8,81 0 2 -10,00 -9,94 1
0 -6,82 -8,21 1 3 5 -6,84 0 0 -10,00 0 2 -8,00 -9,91 0
0 6,77 -5,71 2 1 1 -10,00 0 0 -10,00 0 1 -10,00 -10,00 0
1 -3,43 -9,46 2 4 4 -8,95 0 0 -10,00 1 2 -7,69 -10,00 0
1 0,40 -1,43 2 7 4 1,23 1 0 -10,00 0 1 -8,90 -10,00 1
0 -5,69 0,71 1 10 9 -10,00 1 0 -10,00 0 2 -10,00 -7,36 1
1 -3,56 -8,21 2 4 4 -6,84 1 1 -7,91 0 2 -8,50 -9,75 1
1 0,75 -4,59 2 3 5 -4,68 1 1 -5,52 1 2 -10,00 -9,00 1
1 10,00 -6,07 2 8 4 -9,62 1 0 -10,00 0 2 -10,00 -9,93 0
1 -5,34 -0,71 2 2 8 -9,65 0 0 -10,00 0 2 -7,72 -10,00 0
0 -9,05 -9,64 2 3 4 -9,88 0 1 -8,21 1 2 -7,60 -9,99 0
0 -9,32 -9,89 2 6 4 -9,30 0 1 -9,40 1 2 -6,80 -10,00 0
1 3,93 0,36 2 1 1 2,63 1 1 -5,52 1 2 -10,00 -9,80 1
1 -5,71 -8,57 2 4 8 -7,08 1 1 -9,40 1 2 -8,19 -10,00 1
1 -1,65 -8,90 2 3 5 -7,54 0 0 -10,00 0 2 -7,84 -10,00 1
1 -6,89 -3,57 2 6 4 -9,82 0 0 -10,00 1 2 -10,00 -10,00 0
1 -6,77 -0,48 1 6 4 -9,97 0 0 -10,00 1 2 -8,80 -9,91 0
1 -3,68 0,71 2 12 7 -6,23 1 1 -7,31 1 2 -10,00 -9,97 1
1 -4,01 -9,11 2 9 4 -9,18 0 0 -10,00 0 2 -8,80 -10,00 0
0 -1,86 -2,86 2 11 8 -8,77 1 0 -10,00 0 2 -9,71 -9,83 1
1 -7,99 -8,69 2 8 4 -8,42 1 1 -9,70 0 2 -9,00 -9,97 1
1 -2,86 -9,20 1 2 4 -8,95 0 0 -10,00 1 2 -5,69 -10,00 1
1 0,45 -6,96 2 7 4 -9,91 1 0 -10,00 1 2 -7,75 -10,00 1
1 -7,22 -9,46 2 7 4 -9,65 0 0 -10,00 1 1 -6,80 -10,00 0
1 -3,61 -7,59 2 8 8 -4,18 0 0 -10,00 1 2 -10,00 -10,00 0
1 -9,23 -8,04 2 6 4 -9,53 0 1 -9,70 0 2 -9,20 -10,00 0
1 -7,32 -2,50 2 11 8 -9,06 1 0 -10,00 0 2 -9,00 -10,00 1
0 -7,59 -1,61 2 8 4 -9,82 0 0 -10,00 1 2 -8,20 -10,00 0
0 -6,59 -8,19 1 6 4 -9,82 1 0 -10,00 1 2 -6,30 -10,00 1
1 -3,21 -8,49 1 9 4 -9,94 1 1 -9,70 0 2 -9,50 -9,76 1
0 -5,54 -7,32 2 8 4 -9,82 0 1 -9,70 1 2 -9,60 -9,97 0
1 -7,47 -1,34 2 8 4 -7,66 0 1 -9,40 1 2 -8,20 -9,97 0
1 -3,86 -8,90 2 13 4 -8,92 1 1 -9,70 1 2 -4,80 0,00 1
1 -3,61 -8,21 2 3 4 -9,30 0 0 -10,00 1 2 -7,90 -10,00 0
1 -5,54 -7,41 2 6 4 -9,82 0 0 -10,00 1 2 -9,00 -10,00 0
0 -8,37 -6,14 2 3 8 -9,80 0 0 -10,00 0 2 -9,20 -9,90 0
1 -7,14 -9,29 2 8 4 -9,41 1 0 -10,00 0 1 -7,00 -10,00 1
1 -9,17 -9,91 2 8 4 -9,88 0 0 -10,00 0 2 -8,68 -10,00 0
0 -8,10 -9,91 2 11 4 -9,30 0 1 -9,70 0 2 -7,60 -9,85 1
1 -7,42 -2,14 2 9 4 -8,60 1 1 -9,70 0 2 -9,20 -9,94 1
1 -3,91 -6,37 1 3 5 -9,24 0 0 -10,00 1 2 -5,20 -10,00 0
0 3,03 -9,76 2 3 5 -9,30 1 0 -10,00 1 2 -7,48 -9,56 0
1 -9,25 -9,41 2 7 4 -9,94 1 0 -10,00 0 1 -8,00 -10,00 0
1 -4,26 -8,21 2 13 8 -8,07 1 1 -8,21 0 2 -8,40 -9,59 1
1 0,38 7,91 2 9 4 -8,77 1 1 -9,10 0 2 -8,80 -10,00 1
1 -3,86 -8,04 2 3 5 -8,25 0 0 -10,00 1 2 -7,68 -9,96 0
1 -8,63 -9,14 1 10 2 -10,00 0 0 -10,00 0 2 -9,00 -10,00 0
1 -0,83 -9,64 2 7 4 -2,46 1 0 -10,00 0 1 -6,00 -10,00 0
1 -2,43 -8,75 2 4 4 -9,65 0 0 -10,00 1 2 -7,00 -10,00 0
1 -4,64 -9,46 1 6 4 -7,54 0 0 -10,00 1 2 -6,80 -10,00 0
1 -6,59 -8,78 2 14 4 -8,83 1 1 -9,70 1 2 -6,05 -10,00 1
1 5,54 -2,14 2 10 9 4,04 1 1 -7,91 1 2 -9,78 -10,00 1
1 -1,71 -10,00 2 8 5 0,53 1 0 -10,00 0 2 -10,00 -10,00 1
1 -4,74 -9,20 2 1 1 -10,00 0 1 -9,70 0 2 -9,04 -10,00 0
0 -3,08 -6,64 2 1 1 -10,00 0 0 -10,00 0 2 -8,40 -10,00 0
1 -4,41 -4,64 2 10 5 -8,89 1 0 -10,00 1 1 -5,80 -10,00 0
